Name,Status,Date,Country,"Journalist or Media Worker",Motive,"Type of Death","cpj.org URL"
"Mohammed Mansour",Killed,"March 24, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-mansour/
"Mohammed Noufal",Killed,"August 10, 2025","Israel and the Occupied Palestinian Territory","Al Jazeera",Confirmed,Murder,https://cpj.org/data/people/mohammed-noufal/
"Mohammed Qreiqeh",Killed,"August 10, 2025","Israel and the Occupied Palestinian Territory","Al Jazeera",Confirmed,Murder,https://cpj.org/data/people/mohammed-qreiqeh/
"Mohammed Salama",Killed,"August 25, 2025","Israel and the Occupied Palestinian Territory","Al Jazeera",Confirmed,Unknown,https://cpj.org/data/people/mohammed-salama/
"Mohammed Sobh",Killed,"October 9, 2023","Israel and the Occupied Palestinian Territory","“Khabar” News Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammed-sobh/
"Montaser Al-Sawaf",Killed,"December 1, 2023","Israel and the Occupied Palestinian Territory","Anadolu Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/montaser-al-sawaf/
"Mossab Ashour",Killed,"November 18, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mossab-ashour/
"Mostafa Al Sawaf",Killed,"November 18, 2023","Israel and the Occupied Palestinian Territory","MSDR News",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mostafa-al-sawaf/
"Mostafa Bakeer",Killed,"November 24, 2023","Israel and the Occupied Palestinian Territory","Al Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mostafa-bakeer/
"Moussa Al-Borsh",Killed,"November 12, 2023","Israel and the Occupied Palestinian Territory","Namaa Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/moussa-al-borsh/
"Muhammad Salama",Killed,"March 5, 2024","Israel and the Occupied Palestinian Territory","Al Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/muhammad-salama/
"Mustafa Ayyad",Killed,"May 6, 2024","Israel and the Occupied Palestinian Territory","Freelance,Al Jazeera",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mustafa-ayyad/
"Mustafa Bahr",Killed,"March 31, 2024","Israel and the Occupied Palestinian Territory","Palestine Breaking News",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mustafa-bahr/
"Mustafa Thuraya",Killed,"January 7, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/mustafa-thuraya/
